,ind1,ind2,combined
10088,TRANSPORTATION/TRUCKING/RAILROAD,TRANSPORTATION/TRUCKING/RAILROAD,TRANSPORTATION/TRUCKING/RAILROAD|TRANSPORTATION/TRUCKING/RAILROAD
10089,BANKING,DIVERSIFIED FINANCIAL SERVICES,BANKING|DIVERSIFIED FINANCIAL SERVICES
10090,GOVERNMENT ADMINISTRATION,MEDIA,GOVERNMENT ADMINISTRATION|MEDIA
10091,FINANCIAL SERVICES,FINANCIAL SERVICES,FINANCIAL SERVICES|FINANCIAL SERVICES
10092,INSURANCE,INSURANCE,INSURANCE|INSURANCE
10093,FOOD AND BEVERAGES,FOOD PRODUCTS,FOOD AND BEVERAGES|FOOD PRODUCTS
10094,TEXTILES,APPAREL AND FASHION,TEXTILES|APPAREL AND FASHION
10095,RETAIL,"TEXTILES, APPAREL AND LUXURY GOODS","RETAIL|TEXTILES, APPAREL AND LUXURY GOODS"
10096,FINANCIAL SERVICES,FINANCIAL SERVICES,FINANCIAL SERVICES|FINANCIAL SERVICES
10097,FINANCIAL SERVICES,DIVERSIFIED FINANCIAL SERVICES,FINANCIAL SERVICES|DIVERSIFIED FINANCIAL SERVICES
10098,HIGHER EDUCATION,HIGHER EDUCATION,HIGHER EDUCATION|HIGHER EDUCATION
10099,FINANCIAL SERVICES,FINANCIAL SERVICES,FINANCIAL SERVICES|FINANCIAL SERVICES
10100,INFORMATION TECHNOLOGY AND SERVICES,PROFESSIONAL SERVICES,INFORMATION TECHNOLOGY AND SERVICES|PROFESSIONAL SERVICES
10101,HOSPITAL AND HEALTH CARE,PHARMACEUTICALS,HOSPITAL AND HEALTH CARE|PHARMACEUTICALS
10102,RETAIL,"TEXTILES, APPAREL AND LUXURY GOODS","RETAIL|TEXTILES, APPAREL AND LUXURY GOODS"
10103,"LEISURE, TRAVEL AND TOURISM","LEISURE, TRAVEL AND TOURISM","LEISURE, TRAVEL AND TOURISM|LEISURE, TRAVEL AND TOURISM"
10104,HOSPITAL AND HEALTH CARE,NON-PROFIT ORGANIZATION MANAGEMENT,HOSPITAL AND HEALTH CARE|NON-PROFIT ORGANIZATION MANAGEMENT
10105,TELECOMMUNICATIONS,DIVERSIFIED TELECOMMUNICATION SERVICES,TELECOMMUNICATIONS|DIVERSIFIED TELECOMMUNICATION SERVICES
10106,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION|GOVERNMENT ADMINISTRATION
10107,FINANCIAL SERVICES,FINANCIAL SERVICES,FINANCIAL SERVICES|FINANCIAL SERVICES
10108,NONPROFIT ORGANIZATION MANAGEMENT,NON-PROFIT ORGANIZATION MANAGEMENT,NONPROFIT ORGANIZATION MANAGEMENT|NON-PROFIT ORGANIZATION MANAGEMENT
10109,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
10110,PUBLIC POLICY,PUBLIC POLICY,PUBLIC POLICY|PUBLIC POLICY
10111,BUILDING MATERIALS,BUILDING MATERIALS,BUILDING MATERIALS|BUILDING MATERIALS
10112,TELECOMMUNICATIONS,WIRELESS TELECOMMUNICATION SERVICES,TELECOMMUNICATIONS|WIRELESS TELECOMMUNICATION SERVICES
10113,OIL AND ENERGY,OIL AND ENERGY,OIL AND ENERGY|OIL AND ENERGY
10114,CONSUMER ELECTRONICS,SPECIALTY RETAIL,CONSUMER ELECTRONICS|SPECIALTY RETAIL
10115,RESTAURANTS,"HOTELS, RESTAURANTS AND LEISURE","RESTAURANTS|HOTELS, RESTAURANTS AND LEISURE"
10116,MEDICAL DEVICES,NON-PROFIT ORGANIZATION MANAGEMENT,MEDICAL DEVICES|NON-PROFIT ORGANIZATION MANAGEMENT
10117,SPORTS,SPORTS,SPORTS|SPORTS
10118,MOTION PICTURES AND FILM,MOTION PICTURES AND FILM,MOTION PICTURES AND FILM|MOTION PICTURES AND FILM
10119,BANKING,DIVERSIFIED FINANCIAL SERVICES,BANKING|DIVERSIFIED FINANCIAL SERVICES
10120,CONSUMER SERVICES,ENVIRONMENTAL SERVICES,CONSUMER SERVICES|ENVIRONMENTAL SERVICES
10121,HIGHER EDUCATION,HIGHER EDUCATION,HIGHER EDUCATION|HIGHER EDUCATION
10122,BANKING,BANKING,BANKING|BANKING
10123,RESTAURANTS,RESTAURANTS,RESTAURANTS|RESTAURANTS
10124,FINANCIAL SERVICES,COMPUTER SOFTWARE,FINANCIAL SERVICES|COMPUTER SOFTWARE
10125,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION|GOVERNMENT ADMINISTRATION
10126,COMPUTER SOFTWARE,BIOTECHNOLOGY,COMPUTER SOFTWARE|BIOTECHNOLOGY
10127,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
10128,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
10129,UTILITIES,UTILITIES,UTILITIES|UTILITIES
10130,MECHANICAL OR INDUSTRIAL ENGINEERING,MECHANICAL OR INDUSTRIAL ENGINEERING,MECHANICAL OR INDUSTRIAL ENGINEERING|MECHANICAL OR INDUSTRIAL ENGINEERING
10131,SECURITY AND INVESTIGATIONS,COMMUNICATIONS EQUIPMENT,SECURITY AND INVESTIGATIONS|COMMUNICATIONS EQUIPMENT
10132,EDUCATION MANAGEMENT,PUBLISHING,EDUCATION MANAGEMENT|PUBLISHING
10133,COMPUTER SOFTWARE,COMPUTER SOFTWARE,COMPUTER SOFTWARE|COMPUTER SOFTWARE
10134,MINING AND METALS,MINING AND METALS,MINING AND METALS|MINING AND METALS
10135,PRINTING,PRINTING,PRINTING|PRINTING
10136,INSURANCE,INSURANCE,INSURANCE|INSURANCE
10137,FINANCIAL SERVICES,BANKS,FINANCIAL SERVICES|BANKS
10138,FOOD PRODUCTION,FOOD PRODUCTION,FOOD PRODUCTION|FOOD PRODUCTION
10139,CONSTRUCTION,CONSTRUCTION,CONSTRUCTION|CONSTRUCTION
10140,WINE AND SPIRITS,WINE AND SPIRITS,WINE AND SPIRITS|WINE AND SPIRITS
10141,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
10142,CONSUMER GOODS,CONSUMER GOODS,CONSUMER GOODS|CONSUMER GOODS
10143,GOVERNMENT ADMINISTRATION,FOOD AND STAPLES RETAILING,GOVERNMENT ADMINISTRATION|FOOD AND STAPLES RETAILING
10144,AUTOMOTIVE,AUTOMOTIVE,AUTOMOTIVE|AUTOMOTIVE
10145,RETAIL,RETAIL,RETAIL|RETAIL
10146,TRANSPORTATION/TRUCKING/RAILROAD,GOVERNMENT ADMINISTRATION,TRANSPORTATION/TRUCKING/RAILROAD|GOVERNMENT ADMINISTRATION
10147,FINANCIAL SERVICES,INSURANCE,FINANCIAL SERVICES|INSURANCE
10148,UTILITIES,UTILITIES,UTILITIES|UTILITIES
10149,UTILITIES,UTILITIES,UTILITIES|UTILITIES
10150,THINK TANKS,COMMERCIAL SERVICES AND SUPPLIES,THINK TANKS|COMMERCIAL SERVICES AND SUPPLIES
10151,FINANCIAL SERVICES,PROFESSIONAL SERVICES,FINANCIAL SERVICES|PROFESSIONAL SERVICES
10152,FINANCIAL SERVICES,DIVERSIFIED FINANCIAL SERVICES,FINANCIAL SERVICES|DIVERSIFIED FINANCIAL SERVICES
10153,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
10154,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
10155,INTERNET,PROFESSIONAL SERVICES,INTERNET|PROFESSIONAL SERVICES
10156,FINANCIAL SERVICES,RENEWABLE ELECTRICITY,FINANCIAL SERVICES|RENEWABLE ELECTRICITY
10157,COMPUTER SOFTWARE,COMMUNICATIONS EQUIPMENT,COMPUTER SOFTWARE|COMMUNICATIONS EQUIPMENT
10158,FINANCIAL SERVICES,FINANCIAL SERVICES,FINANCIAL SERVICES|FINANCIAL SERVICES
10159,RETAIL,RETAIL,RETAIL|RETAIL
10160,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
10161,WHOLESALE,"TEXTILES, APPAREL AND LUXURY GOODS","WHOLESALE|TEXTILES, APPAREL AND LUXURY GOODS"
10162,CONSUMER ELECTRONICS,HOUSEHOLD DURABLES,CONSUMER ELECTRONICS|HOUSEHOLD DURABLES
10163,ELECTRICAL/ELECTRONIC MANUFACTURING,INTERNET SOFTWARE AND SERVICES,ELECTRICAL/ELECTRONIC MANUFACTURING|INTERNET SOFTWARE AND SERVICES
10164,COMPUTER SOFTWARE,COMPUTER SOFTWARE,COMPUTER SOFTWARE|COMPUTER SOFTWARE
10165,BUILDING MATERIALS,CHEMICALS,BUILDING MATERIALS|CHEMICALS
10166,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
10167,FINANCIAL SERVICES,FINANCIAL SERVICES,FINANCIAL SERVICES|FINANCIAL SERVICES
10168,HUMAN RESOURCES,PROFESSIONAL SERVICES,HUMAN RESOURCES|PROFESSIONAL SERVICES
10169,FOOD AND BEVERAGES,"HOTELS, RESTAURANTS AND LEISURE","FOOD AND BEVERAGES|HOTELS, RESTAURANTS AND LEISURE"
10170,MARKETING AND ADVERTISING,MEDIA,MARKETING AND ADVERTISING|MEDIA
10171,OUTSOURCING/OFFSHORING,IT SERVICES,OUTSOURCING/OFFSHORING|IT SERVICES
10172,RETAIL,RETAIL,RETAIL|RETAIL
10173,PUBLIC SAFETY,PUBLISHING,PUBLIC SAFETY|PUBLISHING
10174,MACHINERY,MACHINERY,MACHINERY|MACHINERY
10175,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
10176,COMPUTER SOFTWARE,NON-PROFIT ORGANIZATION MANAGEMENT,COMPUTER SOFTWARE|NON-PROFIT ORGANIZATION MANAGEMENT
10177,HIGHER EDUCATION,HIGHER EDUCATION,HIGHER EDUCATION|HIGHER EDUCATION
10178,CONSTRUCTION,CONSTRUCTION,CONSTRUCTION|CONSTRUCTION
10179,WHOLESALE,MACHINERY,WHOLESALE|MACHINERY
10180,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
10181,PUBLISHING,PUBLISHING,PUBLISHING|PUBLISHING
10182,FINANCIAL SERVICES,FINANCIAL SERVICES,FINANCIAL SERVICES|FINANCIAL SERVICES
10183,MARKETING AND ADVERTISING,AUTOMOTIVE,MARKETING AND ADVERTISING|AUTOMOTIVE
10184,MARKETING AND ADVERTISING,MARKETING AND ADVERTISING,MARKETING AND ADVERTISING|MARKETING AND ADVERTISING
10185,RETAIL,"TEXTILES, APPAREL AND LUXURY GOODS","RETAIL|TEXTILES, APPAREL AND LUXURY GOODS"
10186,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE|HOSPITAL AND HEALTH CARE
10187,SPORTS,SPORTS,SPORTS|SPORTS
10188,BUSINESS SUPPLIES AND EQUIPMENT,BUSINESS SUPPLIES AND EQUIPMENT,BUSINESS SUPPLIES AND EQUIPMENT|BUSINESS SUPPLIES AND EQUIPMENT
10189,HIGHER EDUCATION,HIGHER EDUCATION,HIGHER EDUCATION|HIGHER EDUCATION
10190,CONSUMER GOODS,CONSUMER GOODS,CONSUMER GOODS|CONSUMER GOODS
10191,INFORMATION TECHNOLOGY AND SERVICES,MACHINERY,INFORMATION TECHNOLOGY AND SERVICES|MACHINERY
10192,INSURANCE,INSURANCE,INSURANCE|INSURANCE
10193,COMPUTER SOFTWARE,COMPUTER SOFTWARE,COMPUTER SOFTWARE|COMPUTER SOFTWARE
10194,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
10195,SPORTS,SPORTS,SPORTS|SPORTS
10196,INSURANCE,INSURANCE,INSURANCE|INSURANCE
10197,BUSINESS SUPPLIES AND EQUIPMENT,BUSINESS SUPPLIES AND EQUIPMENT,BUSINESS SUPPLIES AND EQUIPMENT|BUSINESS SUPPLIES AND EQUIPMENT
10198,AIRLINES/AVIATION,AIRLINES/AVIATION,AIRLINES/AVIATION|AIRLINES/AVIATION
10199,TOBACCO,TOBACCO,TOBACCO|TOBACCO
10200,INFORMATION TECHNOLOGY AND SERVICES,FINANCIAL SERVICES,INFORMATION TECHNOLOGY AND SERVICES|FINANCIAL SERVICES
10201,LAW ENFORCEMENT,LAW ENFORCEMENT,LAW ENFORCEMENT|LAW ENFORCEMENT
10202,INSURANCE,INSURANCE,INSURANCE|INSURANCE
10203,MECHANICAL OR INDUSTRIAL ENGINEERING,CONSTRUCTION AND ENGINEERING,MECHANICAL OR INDUSTRIAL ENGINEERING|CONSTRUCTION AND ENGINEERING
10204,CONSTRUCTION,CONSTRUCTION AND ENGINEERING,CONSTRUCTION|CONSTRUCTION AND ENGINEERING
10205,MANAGEMENT CONSULTING,MANAGEMENT CONSULTING,MANAGEMENT CONSULTING|MANAGEMENT CONSULTING
10206,HIGHER EDUCATION,HIGHER EDUCATION,HIGHER EDUCATION|HIGHER EDUCATION
10207,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
10208,AUTOMOTIVE,AUTOMOTIVE,AUTOMOTIVE|AUTOMOTIVE
10209,RETAIL,TRANSPORTATION/TRUCKING/RAILROAD,RETAIL|TRANSPORTATION/TRUCKING/RAILROAD
10210,INSURANCE,INSURANCE,INSURANCE|INSURANCE
10211,ENVIRONMENTAL SERVICES,RENEWABLES AND ENVIRONMENT,ENVIRONMENTAL SERVICES|RENEWABLES AND ENVIRONMENT
10212,FINANCIAL SERVICES,FINANCIAL SERVICES,FINANCIAL SERVICES|FINANCIAL SERVICES
10213,AUTOMOTIVE,AUTOMOTIVE,AUTOMOTIVE|AUTOMOTIVE
10214,MANAGEMENT CONSULTING,PROFESSIONAL SERVICES,MANAGEMENT CONSULTING|PROFESSIONAL SERVICES
10215,ELECTRICAL/ELECTRONIC MANUFACTURING,MACHINERY,ELECTRICAL/ELECTRONIC MANUFACTURING|MACHINERY
10216,LEGAL SERVICES,LEGAL SERVICES,LEGAL SERVICES|LEGAL SERVICES
10217,MUSIC,MEDIA,MUSIC|MEDIA
10218,BANKING,BANKS,BANKING|BANKS
10219,HOSPITAL AND HEALTH CARE,HEALTH CARE PROVIDERS AND SERVICES,HOSPITAL AND HEALTH CARE|HEALTH CARE PROVIDERS AND SERVICES
10220,AIRLINES/AVIATION,AIRLINES/AVIATION,AIRLINES/AVIATION|AIRLINES/AVIATION
10221,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE|HOSPITAL AND HEALTH CARE
10222,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
10223,COMPUTER SOFTWARE,COMPUTER SOFTWARE,COMPUTER SOFTWARE|COMPUTER SOFTWARE
10224,CONSUMER GOODS,SPECIALTY RETAIL,CONSUMER GOODS|SPECIALTY RETAIL
10225,INFORMATION TECHNOLOGY AND SERVICES,COMMUNICATIONS EQUIPMENT,INFORMATION TECHNOLOGY AND SERVICES|COMMUNICATIONS EQUIPMENT
10226,INSURANCE,INSURANCE,INSURANCE|INSURANCE
10227,EDUCATION MANAGEMENT,COMPUTER SOFTWARE,EDUCATION MANAGEMENT|COMPUTER SOFTWARE
10228,HOSPITALITY,REAL ESTATE,HOSPITALITY|REAL ESTATE
10229,CONSTRUCTION,CONSTRUCTION,CONSTRUCTION|CONSTRUCTION
10230,RESEARCH,RESEARCH,RESEARCH|RESEARCH
10231,TELECOMMUNICATIONS,DIVERSIFIED TELECOMMUNICATION SERVICES,TELECOMMUNICATIONS|DIVERSIFIED TELECOMMUNICATION SERVICES
10232,MARKETING AND ADVERTISING,PROFESSIONAL SERVICES,MARKETING AND ADVERTISING|PROFESSIONAL SERVICES
10233,PACKAGE/FREIGHT DELIVERY,AIR FREIGHT AND LOGISTICS,PACKAGE/FREIGHT DELIVERY|AIR FREIGHT AND LOGISTICS
10234,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
10235,DEFENSE AND SPACE,CONSUMER GOODS,DEFENSE AND SPACE|CONSUMER GOODS
10236,HOSPITALITY,MECHANICAL OR INDUSTRIAL ENGINEERING,HOSPITALITY|MECHANICAL OR INDUSTRIAL ENGINEERING
10237,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
10238,OIL AND ENERGY,GAS UTILITIES,OIL AND ENERGY|GAS UTILITIES
10239,TRANSLATION AND LOCALIZATION,TRANSLATION AND LOCALIZATION,TRANSLATION AND LOCALIZATION|TRANSLATION AND LOCALIZATION
10240,NONPROFIT ORGANIZATION MANAGEMENT,NON-PROFIT ORGANIZATION MANAGEMENT,NONPROFIT ORGANIZATION MANAGEMENT|NON-PROFIT ORGANIZATION MANAGEMENT
10241,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
10242,INTERNET,INTERNET SOFTWARE AND SERVICES,INTERNET|INTERNET SOFTWARE AND SERVICES
10243,EDUCATION MANAGEMENT,LEISURE PRODUCTS,EDUCATION MANAGEMENT|LEISURE PRODUCTS
10244,LOGISTICS AND SUPPLY CHAIN,LOGISTICS AND SUPPLY CHAIN,LOGISTICS AND SUPPLY CHAIN|LOGISTICS AND SUPPLY CHAIN
10245,TELECOMMUNICATIONS,WIRELESS TELECOMMUNICATION SERVICES,TELECOMMUNICATIONS|WIRELESS TELECOMMUNICATION SERVICES
10246,COMPUTER SOFTWARE,COMPUTER SOFTWARE,COMPUTER SOFTWARE|COMPUTER SOFTWARE
10247,FINANCIAL SERVICES,BANKS,FINANCIAL SERVICES|BANKS
10248,STAFFING AND RECRUITING,BIOTECHNOLOGY,STAFFING AND RECRUITING|BIOTECHNOLOGY
10249,RENEWABLES AND ENVIRONMENT,RENEWABLE ELECTRICITY,RENEWABLES AND ENVIRONMENT|RENEWABLE ELECTRICITY
10250,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
10251,BANKING,BANKING,BANKING|BANKING
10252,MARKETING AND ADVERTISING,MARKETING AND ADVERTISING,MARKETING AND ADVERTISING|MARKETING AND ADVERTISING
10253,MARKETING AND ADVERTISING,TRADING COMPANIES AND DISTRIBUTORS,MARKETING AND ADVERTISING|TRADING COMPANIES AND DISTRIBUTORS
10254,COMPUTER SOFTWARE,PROFESSIONAL SERVICES,COMPUTER SOFTWARE|PROFESSIONAL SERVICES
10255,RELIGIOUS INSTITUTIONS,RELIGIOUS INSTITUTIONS,RELIGIOUS INSTITUTIONS|RELIGIOUS INSTITUTIONS
10256,"LEISURE, TRAVEL AND TOURISM","LEISURE, TRAVEL AND TOURISM","LEISURE, TRAVEL AND TOURISM|LEISURE, TRAVEL AND TOURISM"
10257,MANAGEMENT CONSULTING,MANAGEMENT CONSULTING,MANAGEMENT CONSULTING|MANAGEMENT CONSULTING
10258,MEDICAL DEVICES,COMMERCIAL SERVICES AND SUPPLIES,MEDICAL DEVICES|COMMERCIAL SERVICES AND SUPPLIES
10259,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
10260,COMPUTER NETWORKING,COMPUTER NETWORKING,COMPUTER NETWORKING|COMPUTER NETWORKING
10261,UTILITIES,UTILITIES,UTILITIES|UTILITIES
10262,NONPROFIT ORGANIZATION MANAGEMENT,"TEXTILES, APPAREL AND LUXURY GOODS","NONPROFIT ORGANIZATION MANAGEMENT|TEXTILES, APPAREL AND LUXURY GOODS"
10263,ELECTRICAL/ELECTRONIC MANUFACTURING,ELECTRICAL/ELECTRONIC MANUFACTURING,ELECTRICAL/ELECTRONIC MANUFACTURING|ELECTRICAL/ELECTRONIC MANUFACTURING
10264,"LEISURE, TRAVEL AND TOURISM","LEISURE, TRAVEL AND TOURISM","LEISURE, TRAVEL AND TOURISM|LEISURE, TRAVEL AND TOURISM"
10265,MARITIME,MARINE,MARITIME|MARINE
10266,REAL ESTATE,REAL ESTATE,REAL ESTATE|REAL ESTATE
10267,INTERNET,MEDIA,INTERNET|MEDIA
10268,INTERNET,PROFESSIONAL SERVICES,INTERNET|PROFESSIONAL SERVICES
10269,REAL ESTATE,AEROSPACE AND DEFENSE,REAL ESTATE|AEROSPACE AND DEFENSE
10270,TELECOMMUNICATIONS,INFORMATION TECHNOLOGY AND SERVICES,TELECOMMUNICATIONS|INFORMATION TECHNOLOGY AND SERVICES
10271,CONSTRUCTION,CONSTRUCTION,CONSTRUCTION|CONSTRUCTION
10272,BIOTECHNOLOGY,BIOTECHNOLOGY,BIOTECHNOLOGY|BIOTECHNOLOGY
10273,COMPUTER SOFTWARE,"TECHNOLOGY HARDWARE, STORAGE AND PERIPHERALS","COMPUTER SOFTWARE|TECHNOLOGY HARDWARE, STORAGE AND PERIPHERALS"
10274,INTERNET,"HOTELS, RESTAURANTS AND LEISURE","INTERNET|HOTELS, RESTAURANTS AND LEISURE"
10275,NONPROFIT ORGANIZATION MANAGEMENT,NON-PROFIT ORGANIZATION MANAGEMENT,NONPROFIT ORGANIZATION MANAGEMENT|NON-PROFIT ORGANIZATION MANAGEMENT
10276,UTILITIES,FACILITIES SERVICES,UTILITIES|FACILITIES SERVICES
10277,TRANSPORTATION/TRUCKING/RAILROAD,TRANSPORTATION/TRUCKING/RAILROAD,TRANSPORTATION/TRUCKING/RAILROAD|TRANSPORTATION/TRUCKING/RAILROAD
10278,INSURANCE,INSURANCE,INSURANCE|INSURANCE
10279,COMPUTER SOFTWARE,COMPUTER SOFTWARE,COMPUTER SOFTWARE|COMPUTER SOFTWARE
10280,HIGHER EDUCATION,COMMERCIAL SERVICES AND SUPPLIES,HIGHER EDUCATION|COMMERCIAL SERVICES AND SUPPLIES
10281,PHILANTHROPY,PHILANTHROPY,PHILANTHROPY|PHILANTHROPY
10282,COMPUTER SOFTWARE,COMPUTER SOFTWARE,COMPUTER SOFTWARE|COMPUTER SOFTWARE
10283,"LEISURE, TRAVEL AND TOURISM","LEISURE, TRAVEL AND TOURISM","LEISURE, TRAVEL AND TOURISM|LEISURE, TRAVEL AND TOURISM"
10284,INTERNET,MEDIA,INTERNET|MEDIA
10285,NEWSPAPERS,PUBLISHING,NEWSPAPERS|PUBLISHING
10286,BUILDING MATERIALS,INDUSTRIAL CONGLOMERATES,BUILDING MATERIALS|INDUSTRIAL CONGLOMERATES
10287,MEDICAL DEVICES,MEDIA,MEDICAL DEVICES|MEDIA
10288,"HEALTH, WELLNESS AND FITNESS","HEALTH, WELLNESS AND FITNESS","HEALTH, WELLNESS AND FITNESS|HEALTH, WELLNESS AND FITNESS"
10289,INFORMATION TECHNOLOGY AND SERVICES,FOOD PRODUCTS,INFORMATION TECHNOLOGY AND SERVICES|FOOD PRODUCTS
10290,FARMING,FOOD PRODUCTS,FARMING|FOOD PRODUCTS
10291,HOSPITAL AND HEALTH CARE,PHARMACEUTICALS,HOSPITAL AND HEALTH CARE|PHARMACEUTICALS
10292,CONSUMER GOODS,"TEXTILES, APPAREL AND LUXURY GOODS","CONSUMER GOODS|TEXTILES, APPAREL AND LUXURY GOODS"
10293,TELECOMMUNICATIONS,TELECOMMUNICATIONS,TELECOMMUNICATIONS|TELECOMMUNICATIONS
10294,INFORMATION SERVICES,INFORMATION SERVICES,INFORMATION SERVICES|INFORMATION SERVICES
10295,MARKET RESEARCH,MARKET RESEARCH,MARKET RESEARCH|MARKET RESEARCH
10296,INTERNET,COMPUTER SOFTWARE,INTERNET|COMPUTER SOFTWARE
10297,MARKETING AND ADVERTISING,INTERNET SOFTWARE AND SERVICES,MARKETING AND ADVERTISING|INTERNET SOFTWARE AND SERVICES
10298,INTERNET,COMPUTER SOFTWARE,INTERNET|COMPUTER SOFTWARE
10299,EDUCATION MANAGEMENT,EDUCATION MANAGEMENT,EDUCATION MANAGEMENT|EDUCATION MANAGEMENT
10300,INTERNET,INFORMATION SERVICES,INTERNET|INFORMATION SERVICES
10301,CHEMICALS,CHEMICALS,CHEMICALS|CHEMICALS
10302,EVENTS SERVICES,"HOTELS, RESTAURANTS AND LEISURE","EVENTS SERVICES|HOTELS, RESTAURANTS AND LEISURE"
10303,INVESTMENT MANAGEMENT,CAPITAL MARKETS,INVESTMENT MANAGEMENT|CAPITAL MARKETS
10304,ENVIRONMENTAL SERVICES,ENVIRONMENTAL SERVICES,ENVIRONMENTAL SERVICES|ENVIRONMENTAL SERVICES
10305,FINANCIAL SERVICES,FINANCIAL SERVICES,FINANCIAL SERVICES|FINANCIAL SERVICES
10306,UTILITIES,UTILITIES,UTILITIES|UTILITIES
10307,FINANCIAL SERVICES,DIVERSIFIED FINANCIAL SERVICES,FINANCIAL SERVICES|DIVERSIFIED FINANCIAL SERVICES
10308,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
10309,INTERNET,INTERNET SOFTWARE AND SERVICES,INTERNET|INTERNET SOFTWARE AND SERVICES
10310,REAL ESTATE,REAL ESTATE,REAL ESTATE|REAL ESTATE
10311,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION|GOVERNMENT ADMINISTRATION
10312,ELECTRICAL/ELECTRONIC MANUFACTURING,ELECTRICAL/ELECTRONIC MANUFACTURING,ELECTRICAL/ELECTRONIC MANUFACTURING|ELECTRICAL/ELECTRONIC MANUFACTURING
10313,BUILDING MATERIALS,INDUSTRIAL CONGLOMERATES,BUILDING MATERIALS|INDUSTRIAL CONGLOMERATES
10314,MARKETING AND ADVERTISING,BUILDING MATERIALS,MARKETING AND ADVERTISING|BUILDING MATERIALS
10315,COMPUTER SOFTWARE,"HOTELS, RESTAURANTS AND LEISURE","COMPUTER SOFTWARE|HOTELS, RESTAURANTS AND LEISURE"
10316,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
