,ind1,ind2,combined
190,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
191,INTERNET,DIVERSIFIED FINANCIAL SERVICES,INTERNET|DIVERSIFIED FINANCIAL SERVICES
192,HOSPITAL AND HEALTH CARE,HEALTH CARE PROVIDERS AND SERVICES,HOSPITAL AND HEALTH CARE|HEALTH CARE PROVIDERS AND SERVICES
193,FINANCIAL SERVICES,EDUCATION SERVICES,FINANCIAL SERVICES|EDUCATION SERVICES
194,HIGHER EDUCATION,PROFESSIONAL SERVICES,HIGHER EDUCATION|PROFESSIONAL SERVICES
195,MEDIA PRODUCTION,MEDIA,MEDIA PRODUCTION|MEDIA
196,CONSUMER GOODS,INDUSTRIAL CONGLOMERATES,CONSUMER GOODS|INDUSTRIAL CONGLOMERATES
197,EDUCATION MANAGEMENT,PROFESSIONAL SERVICES,EDUCATION MANAGEMENT|PROFESSIONAL SERVICES
198,HOSPITAL AND HEALTH CARE,PHARMACEUTICALS,HOSPITAL AND HEALTH CARE|PHARMACEUTICALS
199,OIL AND ENERGY,GAS UTILITIES,OIL AND ENERGY|GAS UTILITIES
200,LAW PRACTICE,SPECIALIZED CONSUMER SERVICES,LAW PRACTICE|SPECIALIZED CONSUMER SERVICES
201,HOSPITAL AND HEALTH CARE,HEALTH CARE PROVIDERS AND SERVICES,HOSPITAL AND HEALTH CARE|HEALTH CARE PROVIDERS AND SERVICES
202,FINANCIAL SERVICES,BANKS,FINANCIAL SERVICES|BANKS
203,ONLINE MEDIA,MEDIA,ONLINE MEDIA|MEDIA
204,NONPROFIT ORGANIZATION MANAGEMENT,DIVERSIFIED CONSUMER SERVICES,NONPROFIT ORGANIZATION MANAGEMENT|DIVERSIFIED CONSUMER SERVICES
205,HIGHER EDUCATION,DIVERSIFIED CONSUMER SERVICES,HIGHER EDUCATION|DIVERSIFIED CONSUMER SERVICES
206,MEDICAL PRACTICE,PHARMACEUTICALS,MEDICAL PRACTICE|PHARMACEUTICALS
207,RESTAURANTS,"HOTELS, RESTAURANTS AND LEISURE","RESTAURANTS|HOTELS, RESTAURANTS AND LEISURE"
208,HIGHER EDUCATION,PROFESSIONAL SERVICES,HIGHER EDUCATION|PROFESSIONAL SERVICES
209,HIGHER EDUCATION,DIVERSIFIED CONSUMER SERVICES,HIGHER EDUCATION|DIVERSIFIED CONSUMER SERVICES
210,COMPUTER SOFTWARE,MEDIA,COMPUTER SOFTWARE|MEDIA
211,BANKING,DIVERSIFIED FINANCIAL SERVICES,BANKING|DIVERSIFIED FINANCIAL SERVICES
212,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
213,PUBLISHING,MEDIA,PUBLISHING|MEDIA
214,COMPUTER SOFTWARE,CHEMICALS,COMPUTER SOFTWARE|CHEMICALS
215,INTERNATIONAL AFFAIRS,INTERNET SOFTWARE AND SERVICES,INTERNATIONAL AFFAIRS|INTERNET SOFTWARE AND SERVICES
216,HOSPITAL AND HEALTH CARE,PHARMACEUTICALS,HOSPITAL AND HEALTH CARE|PHARMACEUTICALS
