,industry,total_score
2897,computer software,10.47
2898,software development and design,3.43
2899,software,3.43
2900,engineering software,3.43
2901,computer software,3.46
2902,software development and design,10.46
2903,software,10.46
2904,engineering software,10.46
2905,business intelligence software(bi),10.46
2906,enterprise resource planning software(erp),10.46
2907,marketing and advertising,2.44
2908,manufacturing,3.47
2909,telecommunication equipment,3.47
2910,computer networking equipment,3.47
2911,computer equipment and peripherals,3.47
2912,telecommunications,3.47
2913,internet service providers,3.47
2914,website hosting and internet-related services,3.47
2915,internet,10.48
2916,computer software,10.48
2917,financial services,3.43
2918,financial services,3.47
2919,travel agencies and services,3.44
2920,consumer services,3.44
2921,hospitality,3.44
2922,transportation,3.44
2923,advertising and marketing,3.47
2924,business services,3.47
2925,computer software,10.45
2926,medical devices,3.46
2927,software development and design,10.47
2928,software,10.47
2929,advertising and marketing,10.47
2930,business services,10.47
2931,networking software,10.47
2932,higher education,3.44
2933,information technology and services,3.47
2934,software development and design,3.43
2935,software,3.43
2936,engineering software,3.43
2937,business intelligence software(bi),3.43
2938,enterprise resource planning software(erp),3.43
2939,publishing,3.59
2940,media and internet,3.59
2941,internet,2.45
2942,food and beverages,3.47
2943,marketing and advertising,3.47
2944,advertising and marketing,3.4
2945,business services,3.4
2946,training,3.44
2947,education,3.44
2948,information technology and services,10.5
2949,computer games,10.34
2950,computer software,10.48
2951,financial services,3.43
2952,financial services,3.43
2953,financial services,3.43
2954,financial services,3.43
2955,information technology and services,10.47
2956,computer software,2.47
2957,oil and energy,10.47
2958,education management,10.35
2959,information technology and services,3.49
2960,information technology and services,3.45
2961,biotechnology,3.44
2962,aviation and aerospace,3.38
2963,information technology and services,3.43
2964,information technology and services,3.43
2965,information technology and services,3.43
2966,higher education,3.45
2967,transportation/trucking/railroad,3.44
2968,membership organizations,3.46
2969,organizations,3.46
2970,banking,3.46
2971,finance,3.46
2972,information technologies and services,3.43
2973,information technologies and services,3.43
2974,information technologies and services,3.43
2975,environmental services,3.48
2976,electricity,10.42
2977,oil and gas,10.42
2978,energy,10.42
2979,utilities and waste treatment,10.42
2980,oil and energy,3.41
2981,computer software,2.46
2982,computer software,4.47
2983,computer software,10.46
2984,entertainment,10.46
2985,information technology and services,3.43
2986,information technology and services,3.43
2987,information technology and services,3.43
2988,software development and design,4.45
2989,software,4.45
2990,engineering software,4.45
2991,business intelligence software(bi),4.45
2992,enterprise resource planning software(erp),4.45
2993,information technologies and services,3.43
2994,information technologies and services,3.43
2995,information technologies and services,3.43
2996,financial services,3.43
2997,financial services,3.43
2998,financial services,3.43
2999,financial services,3.43
3000,computer software,3.43
3001,financial services,3.43
3002,financial services,3.43
3003,financial services,3.43
3004,financial services,3.43
3005,e-learning,3.44
3006,information technologies and services,3.43
3007,information technologies and services,3.43
3008,information technologies and services,3.43
3009,computer software,10.46
