,industry,total_score,dummies
2419,health care,3.47,1
2420,advertising,3.47,1
2421,life science,3.47,1
2422,retail,3.46,1
2423,internet,10.47,1
2424,internet,3.42,1
2425,information technology and services,10.48,1
2426,software development and design,10.56,1
2427,software,10.56,1
2428,custom software and technical consulting,10.56,1
2429,customer relationship management software(crm),10.56,1
2430,food and beverages,3.43,1
2431,financial services,3.44,1
2432,information technology and services,10.48,1
2433,information technology and services,3.43,1
2434,broadcast media,10.41,1
2435,information technology and services,3.42,1
2436,security and investigations,10.47,1
2437,insurance,3.43,1
2438,computer software,3.45,1
2439,computer software,10.44,1
2440,computer software,3.42,1
2441,information technology and services,10.47,1
2442,information technology and services,3.46,1
2443,online media,2.43,1
2444,consumer electronics,10.46,1
2445,internet,3.47,1
2446,computer software,10.42,1
2447,information technology and services,3.46,1
2448,telecommunications,3.45,1
2449,information technology and services,10.48,1
2450,sports,10.47,1
2451,computer software,10.49,1
2452,information technology and services,3.43,1
2453,information collection and delivery,4.47,1
2454,media and internet,4.47,1
2455,publishing,4.47,1
2456,commercial printing,4.47,1
2457,business services,4.47,1
2458,custom software and technical consulting,4.47,1
2459,law firms and legal services,4.47,1
2460,software,4.47,1
2461,finance,4.47,1
2462,telecommunications,4.47,1
2463,information technology and services,3.47,1
2464,consumer electronics,3.45,1
2465,information technology and services,2.47,1
2466,health,10.49,1
2467,wellness and fitness,10.49,1
2468,computer software,3.48,1
2469,research,10.46,1
2470,biotechnology,2.42,1
2471,telecommunication equipment,10.46,1
2472,manufacturing,10.46,1
2473,software development and design,10.46,1
2474,software,10.46,1
2475,telecommunications,10.46,1
2476,financial services,4.47,1
2477,computer software,3.34,1
2478,software development and design,3.43,1
2479,software,3.43,1
2480,custom software and technical consulting,3.43,1
2481,software development and design,3.44,1
2482,software,3.44,1
2483,custom software and technical consulting,3.44,1
2484,hospitality,3.46,1
2485,software development and design,2.43,1
2486,software,2.43,1
2487,software development and design,3.47,1
2488,software,3.47,1
2489,custom software and technical consulting,3.47,1
2490,computer software,4.46,1
2491,internet,3.41,1
2492,wireless,3.48,1
2493,biotechnology,2.43,1
2494,government,3.25,1
2495,custom software and technical consulting,3.25,1
2496,software,3.25,1
2497,events services,2.45,1
2498,information technology and services,4.45,1
2499,marketing and advertising,3.47,1
2500,management consulting,3.47,1
2501,software development and design,3.47,1
2502,software,3.47,1
2503,engineering software,3.47,1
2504,business intelligence software(bi),3.47,1
2505,enterprise resource planning software(erp),3.47,1
2506,internet,2.42,1
2507,retail,3.47,1
2508,information technology and services,2.42,1
2509,computer software,3.47,1
2510,computer software,3.48,1
2511,computer software,3.44,1
2512,industrial machinery and equipment,3.43,1
2513,manufacturing,3.43,1
2514,household goods,3.43,1
2515,miscellaneous building materials - flooring,3.43,1
2516,cabinets,3.43,1
2517,etc.,3.43,1
2518,building materials,3.43,1
2519,consumer goods,3.43,1
2520,metals and minerals,3.43,1
2521,construction,3.43,1
2522,metals and mining,3.43,1
2523,computer software,4.45,1
2524,apparel and accessories,3.45,1
2525,retail,3.45,1
2526,software development and design,10.5,1
2527,software,10.5,1
2528,engineering software,10.5,1
2529,business intelligence software(bi),10.5,1
2530,enterprise resource planning software(erp),10.5,1
2531,computer software,10.47,1
2532,computer software,10.45,1
2533,computer software,3.49,1
2534,financial services,10.46,1
2535,computer software,3.44,1
2536,medical devices and equipment,3.48,1
2537,manufacturing,3.48,1
2538,drug manufacturing and research,3.48,1
2539,pharmaceuticals,3.48,1
2540,healthcare,3.48,1
2541,marketing and advertising,10.47,1
2542,comnsumer services,10.47,1
2543,international trade and development,10.46,1
2544,computer software,3.45,1
2545,software development and design,3.46,1
2546,software,3.46,1
2547,engineering software,3.46,1
2548,computer software,10.42,1
2549,computer software,10.47,1
2550,information technology and services,3.47,1
2551,computer software,10.48,1
2552,internet,10.47,1
2553,information technology and services,10.47,1
2554,consumer electronics,2.44,1
2555,software development and design,3.47,1
2556,software,3.47,1
2557,financial,3.47,1
2558,legal and hr software,3.47,1
2559,accounting and accounting services,3.47,1
2560,business services,3.47,1
2561,engineering software,3.47,1
2562,education management,10.48,1
2563,human resources and staffing,10.45,1
2564,business services,10.45,1
2565,computer games,10.48,1
2566,information technology and services,3.41,1
2567,e-learning,10.47,1
2568,information technology and services,10.55,1
2569,media production,10.45,1
2570,wineries and breweries,3.44,1
2571,food,3.44,1
2572,beverages and tobacco,3.44,1
2573,manufacturing,3.44,1
2574,internet,10.45,1
2575,software development and design,3.44,1
2576,software,3.44,1
2577,custom software and technical consulting,3.44,1
2578,consumer services,3.49,1
2579,e learning,10.47,1
2580,online media,10.5,1
2581,semiconductors,10.47,1
2582,search engines and internet portals,10.47,1
2583,media and internet,10.47,1
2584,information collection and delivery,10.47,1
2585,computer software,10.45,1
2586,computer software,3.47,1
2587,financial services,10.46,1
2588,computer software,3.44,1
2589,internet,10.47,1
2590,information technology and services,3.47,1
2591,computer software,3.29,1
2592,custom software and technical consulting,3.43,1
2593,software,3.43,1
2594,writing and editing,3.5,1
2595,medical testing and clinical laboratories,10.46,1
2596,healthcare,10.46,1
2597,program development,10.45,1
2598,government administration,3.42,1
2599,computer software,3.56,1
2600,gambling and gaming,3.4,1
2601,recreation,3.4,1
2602,hospitality,3.4,1
2603,information technology and services,10.48,1
2604,computer software,3.46,1
2605,industrial automation,10.47,1
2606,information technology and services,3.45,1
2607,computer software,10.44,1
2608,marketing and advertising,10.47,1
2609,internet,10.47,1
2610,apparel and fashion,3.45,1
2611,software development and design,3.48,1
2612,software,3.48,1
2613,engineering software,3.48,1
2614,business intelligence software(bi),3.48,1
2615,enterprise resource planning software(erp),3.48,1
2616,human resources and staffing,3.47,1
2617,business services,3.47,1
2618,software development and design,10.45,1
2619,software,10.45,1
2620,engineering software,10.45,1
2621,food and beverages,10.48,1
2622,nonprofit organization management,3.47,1
2623,financial services,3.43,1
2624,software development and design,3.38,1
2625,software,3.38,1
2626,financial,3.38,1
2627,legal and hr software,3.38,1
2628,engineering software,3.38,1
2629,marketing and advertising,3.44,1
2630,software development and design,10.45,1
2631,software,10.45,1
2632,engineering software,10.45,1
2633,business intelligence software(bi),10.45,1
2634,enterprise resource planning software(erp),10.45,1
2635,internet,10.48,1
2636,real estate,3.47,1
2637,computer software,3.43,1
2638,gambling and casinos,10.46,1
2639,internet,3.44,1
2640,computer software,4.45,1
2641,computer software,10.43,1
2642,financial services,10.48,1
2643,computer games,3.47,1
2644,entertainment,3.43,1
2645,market research,3.34,1
2646,computer software,3.46,1
2647,media production,3.44,1
2648,financial services,3.48,1
2649,universities,3.45,1
2650,computer software,4.48,1
2651,health,3.44,1
2652,wellness and fitness,3.44,1
2653,retail,3.47,1
2654,internet,3.48,1
2655,software development and design,3.46,1
2656,software,3.46,1
2657,advertising and marketing,3.56,1
2658,business services,3.56,1
2659,search engines and internet portals,3.56,1
2660,media and internet,3.56,1
2661,design,10.46,1
2662,airlines,2.47,1
2663,airports and air services,2.47,1
2664,transportation,2.47,1
2665,computer software,10.23,1
2666,financial services,10.47,1
2667,hospital and health care,3.45,1
2668,computer software,10.37,1
2669,personal computers and peripherals,3.45,1
2670,computer equipment and peripherals,3.45,1
2671,manufacturing,3.45,1
2672,software development and design,3.45,1
2673,software,3.45,1
2674,consumer electronics,3.45,1
2675,consumer goods,3.45,1
2676,custom software and technical consulting,3.45,1
2677,network security hardware and software,3.45,1
2678,computer software,3.48,1
2679,marketing and advertising,10.44,1
2680,software development and design,10.47,1
2681,software,10.47,1
2682,engineering software,10.47,1
2683,business intelligence software(bi),10.47,1
2684,enterprise resource planning software(erp),10.47,1
2685,internet,10.49,1
2686,computer software,3.46,1
2687,custom software and technical consulting,3.45,1
2688,software,3.45,1
2689,software development and design,3.45,1
2690,computer games,10.47,1
2691,information technology and services,3.49,1
2692,human resources and staffing,3.45,1
2693,business services,3.45,1
2694,engineering software,3.45,1
2695,software development and design,3.45,1
2696,software,3.45,1
2697,information technology and services,10.49,1
2698,internet,3.49,1
2699,jive communications,10.44,1
2700,inc,10.44,1
2701,computer software,3.47,1
2702,custom software and technical consulting,3.47,1
2703,software,3.47,1
2704,software development and design,3.47,1
2705,information technology and services,3.44,1
2706,information technology and services,3.47,1
2707,marketing and advertising,3.52,1
2708,marketing and advertising,10.44,1
2709,internet,10.43,1
2710,internet,3.41,1
2711,higher education,3.4,1
2712,financial services,3.47,1
2713,software development and design,3.51,1
2714,software,3.51,1
2715,engineering software,3.51,1
2716,computer software,10.46,1
2717,internet,10.47,1
2718,financial services,10.47,1
2719,computer software,3.41,1
2720,computer software,10.47,1
2721,computer software,3.44,1
2722,marketing and advertising,3.43,1
2723,food and beverages,3.4,1
2724,hospitals and clinics,3.46,1
2725,healthcare,3.46,1
2726,information collection and delivery,3.46,1
2727,media and internet,3.46,1
2728,information technology and services,10.49,1
2729,computer software,3.44,1
2730,computer software,3.39,1
2731,education management,3.46,1
2732,computer software,3.48,1
2733,arts and crafts,3.46,1
2734,colleges,3.49,1
2735,ranching,3.43,1
2736,computer games,10.47,1
2737,internet,10.48,1
2738,computer software,3.4,1
2739,online media,3.43,1
2740,computer software,2.45,1
2741,financial services,3.44,1
2742,retail,3.75,1
2743,marketing and advertising,3.37,1
2744,health,10.47,1
2745,wellness and fitness,10.47,1
2746,internet,3.4,1
2747,financial services,10.47,1
2748,marketing and advertising,3.42,1
2749,e-learning,3.46,1
2750,computer software,3.38,1
2751,telecommunications,10.49,1
2752,telecommunications,3.47,1
2753,computer software,10.48,1
2754,information technology and services,3.43,1
2755,internet,3.42,1
2756,management consulting,3.43,1
2757,farming,3.47,1
2758,facilities services,3.47,1
2759,telemunication,10.47,1
2760,higher education,4.39,1
2761,construction,3.43,1
2762,investment management,3.46,1
2763,software development and design,10.43,1
2764,software,10.43,1
2765,engineering software,10.43,1
2766,business intelligence software(bi),10.43,1
2767,enterprise resource planning software(erp),10.43,1
2768,internet,10.47,1
2769,information technology and services,3.42,1
2770,computer software,3.42,1
2771,software development and design,10.46,1
2772,software,10.46,1
2773,engineering software,10.46,1
2774,business intelligence software(bi),10.46,1
2775,enterprise resource planning software(erp),10.46,1
2776,internet software,3.44,1
2777,internet,3.43,1
2778,universities,3.42,1
2779,marketing and advertising,10.46,1
2780,entertainment,3.49,1
2781,software development and design,10.48,1
2782,software,10.48,1
2783,software development and design,3.44,1
2784,software,3.44,1
2785,retail,2.47,1
2786,industrial automation,3.48,1
2787,software development and design,3.36,1
2788,software,3.36,1
2789,computer software,3.44,1
2790,colleges and universities,10.48,1
2791,education,10.48,1
2792,application software,2.46,1
2793,software development and design,10.42,1
2794,software,10.42,1
2795,search engines and internet portals,10.42,1
2796,media and internet,10.42,1
2797,electric utilities,2.41,1
2798,hospital and health care,10.46,1
2799,software development and design,10.47,1
2800,software,10.47,1
2801,engineering software,10.47,1
2802,business intelligence software(bi),10.47,1
